{'HIDEN_DIM': 5000, 'sliced_time': 0.0022132681548595427, 'unsliced_time': 0.0019116788923740388, 'ratio': 1.1577614649032255}
{'HIDEN_DIM': 5500, 'sliced_time': 0.0019090469419956208, 'unsliced_time': 0.0019720354557037356, 'ratio': 0.9680591373111814}
{'HIDEN_DIM': 6000, 'sliced_time': 0.001904929131269455, 'unsliced_time': 0.0018883211255073546, 'ratio': 1.0087951172805092}
{'HIDEN_DIM': 6500, 'sliced_time': 0.0019100962102413176, 'unsliced_time': 0.0023091182947158812, 'ratio': 0.8271972096935553}
{'HIDEN_DIM': 7000, 'sliced_time': 0.002204248183965683, 'unsliced_time': 0.0019080007016658784, 'ratio': 1.1552659189491654}
{'HIDEN_DIM': 7500, 'sliced_time': 0.0018961098313331603, 'unsliced_time': 0.0028490462064743043, 'ratio': 0.6655244225328296}
{'HIDEN_DIM': 8000, 'sliced_time': 0.0018901346623897554, 'unsliced_time': 0.0020277427077293395, 'ratio': 0.9321373245160491}
{'HIDEN_DIM': 8500, 'sliced_time': 0.001882943969964981, 'unsliced_time': 0.003185509699583054, 'ratio': 0.5910966054228108}
{'HIDEN_DIM': 9000, 'sliced_time': 0.0018838639438152316, 'unsliced_time': 0.0026401509940624235, 'ratio': 0.7135440162520833}
{'HIDEN_DIM': 9500, 'sliced_time': 0.0018951515793800354, 'unsliced_time': 0.004161196082830429, 'ratio': 0.4554343370646838}
{'HIDEN_DIM': 10000, 'sliced_time': 0.002176095533370972, 'unsliced_time': 0.0028490245103836064, 'ratio': 0.7638037249030096}
